x ,Kalmar_COM_Crane21_SPARE_INT6 ,Kalmar_COM_Crane21_SPARE_INT5 ,Kalmar_COM_Crane21_SPARE_INT4 ,Kalmar_COM_Crane21_SPARE_INT3 ,Kalmar_COM_Crane21_SPARE_INT2 ,Kalmar_COM_Crane21_SPARE_INT1 ,
Type ,INT ,INT ,INT ,INT ,INT ,INT ,
ScalingFactor ,1 ,1 ,1 ,1 ,1 ,1 ,
OffSet ,0 ,0 ,0 ,0 ,0 ,0 ,
Comment ,NA ,NA ,NA ,NA ,NA ,NA ,
2023-06-30 16:56:40.151,0,0,0,0,0,95,
2023-06-30 16:56:40.704,0,0,0,0,0,81,
2023-06-30 16:56:41.366,0,0,0,0,0,-16,
2023-06-30 16:56:41.919,0,0,0,0,0,-81,
2023-06-30 16:56:42.581,0,0,0,0,0,-89,
2023-06-30 16:56:43.134,0,0,0,0,0,-31,
2023-06-30 16:56:43.796,0,0,0,0,0,71,
2023-06-30 16:56:44.349,0,0,0,0,0,100,
2023-06-30 16:56:44.901,0,0,0,0,0,59,
2023-06-30 16:56:45.564,0,0,0,0,0,-45,
2023-06-30 16:56:46.117,0,0,0,0,0,-95,
2023-06-30 16:56:46.779,0,0,0,0,0,-71,
2023-06-30 16:56:47.332,0,0,0,0,0,0,
2023-06-30 16:56:47.995,0,0,0,0,0,89,
2023-06-30 16:56:48.547,0,0,0,0,0,95,
2023-06-30 16:56:49.1,0,0,0,0,0,31,
2023-06-30 16:56:49.762,0,0,0,0,0,-71,
2023-06-30 16:56:50.315,0,0,0,0,0,-100,
2023-06-30 16:56:50.978,0,0,0,0,0,-45,
2023-06-30 16:56:51.53,0,0,0,0,0,31,
2023-06-30 16:56:52.193,0,0,0,0,0,99,
2023-06-30 16:56:52.745,0,0,0,0,0,81,
2023-06-30 16:56:53.298,0,0,0,0,0,0,
2023-06-30 16:56:53.96,0,0,0,0,0,-89,
2023-06-30 16:56:54.513,0,0,0,0,0,-95,
2023-06-30 16:56:55.176,0,0,0,0,0,-16,
2023-06-30 16:56:55.728,0,0,0,0,0,59,
2023-06-30 16:56:56.391,0,0,0,0,0,99,
2023-06-30 16:56:56.943,0,0,0,0,0,59,
2023-06-30 16:56:57.496,0,0,0,0,0,-31,
2023-06-30 16:56:58.158,0,0,0,0,0,-99,
2023-06-30 16:56:58.711,0,0,0,0,0,-81,
2023-06-30 16:56:59.373,0,0,0,0,0,16,
2023-06-30 16:56:59.926,0,0,0,0,0,81,
2023-06-30 16:57:00.588,0,0,0,0,0,89,
2023-06-30 16:57:01.141,0,0,0,0,0,31,
2023-06-30 16:57:01.693,0,0,0,0,0,-59,
2023-06-30 16:57:02.356,0,0,0,0,0,-99,
2023-06-30 16:57:02.908,0,0,0,0,0,-59,
2023-06-30 16:57:03.571,0,0,0,0,0,45,
2023-06-30 16:57:04.123,0,0,0,0,0,95,
2023-06-30 16:57:04.786,0,0,0,0,0,71,
2023-06-30 16:57:05.338,0,0,0,0,0,0,
2023-06-30 16:57:05.89,0,0,0,0,0,-81,
2023-06-30 16:57:06.553,0,0,0,0,0,-95,
2023-06-30 16:57:07.106,0,0,0,0,0,-31,
2023-06-30 16:57:07.768,0,0,0,0,0,71,
2023-06-30 16:57:08.321,0,0,0,0,0,100,
2023-06-30 16:57:08.983,0,0,0,0,0,45,
2023-06-30 16:57:09.536,0,0,0,0,0,-31,
2023-06-30 16:57:10.199,0,0,0,0,0,-99,
2023-06-30 16:57:10.751,0,0,0,0,0,-81,
2023-06-30 16:57:11.303,0,0,0,0,0,0,
2023-06-30 16:57:11.966,0,0,0,0,0,89,
2023-06-30 16:57:12.519,0,0,0,0,0,95,
2023-06-30 16:57:13.181,0,0,0,0,0,16,
2023-06-30 16:57:13.734,0,0,0,0,0,-59,
2023-06-30 16:57:14.397,0,0,0,0,0,-99,
2023-06-30 16:57:14.949,0,0,0,0,0,-59,
2023-06-30 16:57:15.501,0,0,0,0,0,31,
2023-06-30 16:57:16.164,0,0,0,0,0,99,
2023-06-30 16:57:16.716,0,0,0,0,0,81,
2023-06-30 16:57:17.379,0,0,0,0,0,-16,
2023-06-30 16:57:17.931,0,0,0,0,0,-81,
2023-06-30 16:57:18.594,0,0,0,0,0,-89,
2023-06-30 16:57:19.147,0,0,0,0,0,-31,
2023-06-30 16:57:19.699,0,0,0,0,0,59,
2023-06-30 16:57:20.362,0,0,0,0,0,99,
2023-06-30 16:57:20.914,0,0,0,0,0,59,
2023-06-30 16:57:21.577,0,0,0,0,0,-45,
2023-06-30 16:57:22.129,0,0,0,0,0,-95,
2023-06-30 16:57:22.792,0,0,0,0,0,-71,
2023-06-30 16:57:23.344,0,0,0,0,0,0,
2023-06-30 16:57:23.896,0,0,0,0,0,81,
2023-06-30 16:57:24.559,0,0,0,0,0,89,
2023-06-30 16:57:25.111,0,0,0,0,0,31,
2023-06-30 16:57:25.774,0,0,0,0,0,-71,
2023-06-30 16:57:26.327,0,0,0,0,0,-100,
2023-06-30 16:57:26.989,0,0,0,0,0,-45,
2023-06-30 16:57:27.541,0,0,0,0,0,31,
2023-06-30 16:57:28.094,0,0,0,0,0,95,
2023-06-30 16:57:28.757,0,0,0,0,0,71,
2023-06-30 16:57:29.309,0,0,0,0,0,0,
2023-06-30 16:57:29.972,0,0,0,0,0,-89,
2023-06-30 16:57:30.524,0,0,0,0,0,-95,
2023-06-30 16:57:31.187,0,0,0,0,0,-16,
2023-06-30 16:57:31.739,0,0,0,0,0,59,
2023-06-30 16:57:32.291,0,0,0,0,0,100,
2023-06-30 16:57:32.954,0,0,0,0,0,45,
2023-06-30 16:57:33.506,0,0,0,0,0,-31,
2023-06-30 16:57:34.169,0,0,0,0,0,-99,
2023-06-30 16:57:34.721,0,0,0,0,0,-81,
2023-06-30 16:57:35.384,0,0,0,0,0,16,
2023-06-30 16:57:35.936,0,0,0,0,0,81,
2023-06-30 16:57:36.599,0,0,0,0,0,89,
2023-06-30 16:57:37.151,0,0,0,0,0,31,
2023-06-30 16:57:37.704,0,0,0,0,0,-59,
2023-06-30 16:57:38.366,0,0,0,0,0,-99,
2023-06-30 16:57:38.919,0,0,0,0,0,-59,
2023-06-30 16:57:39.581,0,0,0,0,0,45,
2023-06-30 16:57:40.134,0,0,0,0,0,95,
2023-06-30 16:57:40.796,0,0,0,0,0,71,
2023-06-30 16:57:41.349,0,0,0,0,0,0,
2023-06-30 16:57:41.901,0,0,0,0,0,-81,
2023-06-30 16:57:42.564,0,0,0,0,0,-89,
2023-06-30 16:57:43.116,0,0,0,0,0,-31,
2023-06-30 16:57:43.779,0,0,0,0,0,71,
2023-06-30 16:57:44.331,0,0,0,0,0,100,
2023-06-30 16:57:44.994,0,0,0,0,0,45,
2023-06-30 16:57:45.546,0,0,0,0,0,-31,
2023-06-30 16:57:46.098,0,0,0,0,0,-95,
2023-06-30 16:57:46.761,0,0,0,0,0,-71,
2023-06-30 16:57:47.314,0,0,0,0,0,0,
2023-06-30 16:57:47.976,0,0,0,0,0,89,
2023-06-30 16:57:48.529,0,0,0,0,0,95,
2023-06-30 16:57:49.191,0,0,0,0,0,16,
2023-06-30 16:57:49.744,0,0,0,0,0,-59,
2023-06-30 16:57:50.296,0,0,0,0,0,-100,
